country,region,source,segment,type,abatement,savings,cost
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.03,-11.11
Korea,Asia Pacific,Offshore gas,Upstream,Gas,Replace pumps,0,-10.69
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0,-10.69
Korea,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0,-10.69
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.32,-10.56
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-10.53
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Blowdown capture,0,-10.53
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.25,-10.21
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.02,-10.19
Japan,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.33,-10.19
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.03,-10.19
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-9.93
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-9.93
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.81,-9.91
Korea,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Korea,Asia Pacific,Offshore gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.08,-9.68
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.01,-9.55
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.01,-9.44
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.02,-9.23
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-9.18
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,1.3,-9.18
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.63,-9.01
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,14.84,-9.01
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,10.97,-9.01
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.05,-9.01
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.38,-9.01
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,1.24,-9.01
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.45,-9.01
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,7.39,-9.01
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.09,-9.01
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.23,-9.01
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.06,-9.01
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.95,-9.01
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,12.46,-9.01
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,3.37,-9.01
Vietnam,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.23,-9.01
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,2.35,-9.01
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,8.55,-9.01
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.26,-8.97
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.06,-8.97
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.03,-8.97
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-8.86
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.04,-8.86
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.03,-8.85
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,1,-8.8
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.14,-8.8
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,3.4699999999999998,-8.8
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,1.05,-8.8
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.16,-8.8
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.26,-8.8
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,11.76,-8.56
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.02,-8.56
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,1.96,-8.56
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,19.84,-8.56
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.86,-8.56
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,2.19,-8.56
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.32,-8.56
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,2.81,-8.56
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,23.63,-8.56
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,3.74,-8.56
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,2.19,-8.56
Other,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.08,-8.55
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,20.86,-8.46
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.5,-8.46
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,34.21,-8.43
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.03,-8.43
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.78,-8.38
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.24,-8.34
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,1.21,-8.34
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,2.62,-8.33
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.08,-8.33
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,0.03,-8.33
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0,-8.3
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.05,-8.3
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.32,-8.3
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.16,-8.27
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.69,-8.27
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.09,-8.27
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,1.88,-8.26
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.4,-8.26
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-8.19
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-8.19
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-8.18
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.07,-8.18
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.5,-8.18
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.53,-8.18
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,1.73,-8.18
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.13,-8.18
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.06,-8.18
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.08,-8.18
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-8.18
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-8.15
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.04,-8.15
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.96,-8.07
China,Asia Pacific,Unconventional gas,Upstream,Gas,Other,1.33,-8.07
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-8.03
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-8.03
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-8.02
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.03,-8.02
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.02,-7.99
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,8.07,-7.9399999999999995
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0.3,-7.9399999999999995
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,3.86,-7.9399999999999995
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.09,-7.9399999999999995
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0,-7.92
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,4.47,-7.92
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-7.92
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-7.92
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-7.92
Other,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0,-7.92
Other,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.85,-7.92
Other,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.45,-7.92
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.02,-7.92
Other,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-7.89
Other,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.87,-7.85
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.1,-7.77
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.04,-7.77
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.06,-7.77
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.39,-7.77
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,1.3,-7.77
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.04,-7.77
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.05,-7.77
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.37,-7.77
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.04,-7.77
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,14.72,-7.77
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,1.4,-7.74
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,11.82,-7.74
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,1.1,-7.74
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.16,-7.74
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,9.92,-7.74
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.43,-7.74
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.01,-7.74
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.98,-7.74
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,5.88,-7.74
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,1.87,-7.74
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,1.09,-7.74
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,18.89,-7.72
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,15.76,-7.71
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.49,-7.71
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,5.19,-7.71
India,Asia Pacific,Satellite - upstream,Upstream,Gas,Upstream LDAR,6.5600000000000005,-7.71
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.87,-7.7
Pakistan,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,2.06,-7.7
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.01,-7.6899999999999995
India,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,10.96,-7.65
India,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,2.52,-7.65
India,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,19.88,-7.65
China,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,7.25,-7.62
China,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,4.25,-7.62
China,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,28.45,-7.62
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.02,-7.59
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.65,-7.59
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.11,-7.57
India,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0.49,-7.5600000000000005
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,1.01,-7.5600000000000005
China,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,14.63,-7.55
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,10.58,-7.55
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,5.79,-7.55
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Other,25.4,-7.53
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Other,1.21,-7.53
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Other,5.86,-7.53
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Other,0.68,-7.53
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Other,8.22,-7.53
Vietnam,Asia Pacific,Downstream gas,Downstream,Gas,Other,2.98,-7.53
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.06,-7.49
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.29,-7.49
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.19,-7.47
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,1.78,-7.47
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.2,-7.47
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.28,-7.47
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,6.17,-7.47
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.19,-7.47
Korea,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.02,-7.46
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.02,-7.46
Korea,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with instrument air systems,0.02,-7.46
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,5.74,-7.45
India,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,2.03,-7.45
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,4.14,-7.45
Other,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,3.39,-7.45
Other,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,0,-7.45
Other,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,2.89,-7.45
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,1.35,-7.43
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace with instrument air systems,0.3,-7.43
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,2.14,-7.43
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,25.92,-7.36
China,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,59.56,-7.36
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,42.15,-7.36
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,11.9,-7.31
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,0,-7.31
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,2.2,-7.31
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,10.36,-7.25
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,21.68,-7.25
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,0.81,-7.25
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,13.89,-7.24
India,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,5.09,-7.23
India,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,17.45,-7.23
Other,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,2.11,-7.21
Other,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,62.13,-7.19
Other,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0,-7.19
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,4.41,-7.19
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.73,-7.19
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.01,-7.19
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,7.44,-7.19
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.32,-7.19
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,8.86,-7.19
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,1.05,-7.19
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.12,-7.19
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.82,-7.19
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,1.4,-7.19
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.82,-7.19
China,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,6.76,-7.09
China,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,7.28,-7.09
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-7.08
New Zealand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-7.08
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.11,-7.07
Pakistan,Asia Pacific,Satellite - upstream,Upstream,Gas,Upstream LDAR,1.76,-7.07
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,1.15,-7.05
China,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,13.11,-7.03
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,43.5,-7.03
China,Asia Pacific,Unconventional oil,Upstream,Oil,Vapour recovery units,0.04,-7.03
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,11.66,-7.02
Other,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-7.01
Other,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-7.01
Other,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0,-7
Other,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.71,-7
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Other,0.01,-6.98
Poland,Europe,Onshore conventional gas,Upstream,Gas,Other,0.03,-6.98
Poland,Europe,Unconventional gas,Upstream,Gas,Other,0.01,-6.98
Romania,Europe,Onshore conventional gas,Upstream,Gas,Other,0.26,-6.98
Romania,Europe,Unconventional gas,Upstream,Gas,Other,0,-6.98
Cuba,Central and South America,Onshore conventional gas,Upstream,Gas,Other,0.01,-6.98
Australia,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,4.03,-6.98
Australia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.27,-6.98
Germany,Europe,Onshore conventional gas,Upstream,Gas,Other,0.04,-6.98
Germany,Europe,Unconventional gas,Upstream,Gas,Other,0.02,-6.98
France,Europe,Onshore conventional gas,Upstream,Gas,Other,0,-6.98
France,Europe,Unconventional gas,Upstream,Gas,Other,0,-6.98
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Other,0.21,-6.98
Ukraine,Europe,Unconventional gas,Upstream,Gas,Other,0.01,-6.98
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,6.91,-6.97
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.06,-6.95
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.03,-6.95
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.04,-6.95
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.26,-6.95
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.87,-6.95
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.04,-6.95
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-6.95
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.25,-6.95
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.04,-6.95
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.03,-6.95
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.03,-6.95
China,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,36.34,-6.9
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,26.28,-6.9
India,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,29.68,-6.9
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,28.97,-6.9
India,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,1.29,-6.9
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,2.7,-6.9
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,1.29,-6.87
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,2.07,-6.86
India,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,1.01,-6.86
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,2.87,-6.86
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,0.01,-6.86
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,18.25,-6.86
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,8.03,-6.86
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,43.42,-6.86
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,7.74,-6.86
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,15.89,-6.84
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.08,-6.84
Argentina,Central and South America,Satellite - upstream,Upstream,Gas,Upstream LDAR,18.96,-6.84
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,2.12,-6.84
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Upstream LDAR,1.27,-6.84
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,33.25,-6.84
Other countries in Southeast Asia,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.82,-6.8
Philippines,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.18,-6.8
Thailand,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,1.05,-6.8
Brunei,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0,-6.8
Malaysia,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.21,-6.8
Vietnam,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.2,-6.8
China,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-6.79
China,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.03,-6.79
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.1,-6.75
